Dune Field,Latitude,Longitude,Large Type,Large Wavelength (m),Large Width (m),Large Height (m),Small Type,Small Wavelength (m),Small Width (m),Small Height (m),Mean Resultant Flux Magnitude (m^2/yr),Mean of Flux Magnitudes (m^2/yr)
An Nafud \& Ad Dahna,28.80561065673828,40.781166076660156,l,850.115524953881,5795.326449622295,23.521127466982822,b,670.0218127929426,1619.5025789060467,18.404130918690694,2.534173371758191,6.401421436456142
Rub Al Khali,19.5316104888916,49.78114700317383,b,679.8058117525391,2903.320775098567,14.754006714242305,b,679.8058117525391,2903.320775098567,14.754006714242305,1.7792385571150047,5.274518330008109
Rub Al Khali,19.250579833984375,50.90614318847656,b,983.9163000607219,3272.730349680173,28.945143808172478,b,666.7218648699267,1125.7188563736652,17.03959850581279,0.4680693760835625,4.6785928058095605
El Djouf,20.37470054626465,349.030517578125,l,547.6369410422012,4367.438760047281,17.03959850581279,l,547.6369410422012,4367.438760047281,17.03959850581279,13.471537244775782,18.93101355008416
Idehan Ubari,28.24355125427246,10.968727111816406,l,1992.3448204775511,29133.919844610158,55.46824258348669,l,1992.3448204775511,29133.919844610158,55.46824258348669,5.0862954874452,18.33810906295348
El Djouf,21.498821258544922,350.718017578125,l,1211.2811805074405,44417.10486540715,33.635723977440264,l,485.2810070568033,3100.8523339752765,21.93485853701226,6.505724320511764,10.23844537337186
El Djouf,20.093669891357422,353.530517578125,b,979.7339336111245,3061.5566010379766,18.847603952876014,b,979.7339336111245,3061.5566010379766,18.847603952876014,8.206843865921908,12.759324931099812
Rub Al Khali,21.217792510986328,55.68738555908203,s,1200.4501646658007,2885.06173033599,33.22636425357689,s,1200.4501646658007,2885.06173033599,33.22636425357689,1.5839615548230166,5.443915496321531
Idehan Ubari,26.276338577270508,10.968727111816406,b,2072.6951487499427,5650.077183854456,50.726492448735975,b,2072.6951487499427,5650.077183854456,50.726492448735975,2.285504072265573,12.415682467130514
Grand Erg Oriental,31.334884643554688,7.874983787536621,s,1396.6720526274476,4706.502267010854,34.62500997677674,s,1396.6720526274476,4706.502267010854,34.62500997677674,2.8173732460502108,19.45450185481209
Central Takla Makan,40.32785415649414,82.96857452392578,l,1170.9543991578244,8936.66636852256,28.041141084640874,l,1170.9543991578244,8936.66636852256,28.041141084640874,5.489217117099588,8.401344625379757
El Djouf,20.37470054626465,348.749267578125,l,520.178890809873,3633.949029155888,18.847603952876014,l,520.178890809873,3633.949029155888,18.847603952876014,15.363564384806159,20.398866384201693
El Djouf,17.283367156982422,355.218017578125,b,431.99210270474777,839.5289584307574,13.133624473949801,b,431.99210270474777,839.5289584307574,13.133624473949801,5.788205613951525,12.766921408872163
El Djouf,21.217792510986328,350.155517578125,l,1485.9413376951682,44439.390553864854,26.471928809831287,l,1485.9413376951682,44439.390553864854,26.471928809831287,8.618571178675452,13.11437752176369
El Djouf,17.002336502075195,356.905517578125,l,1122.568716325909,25926.734467693317,22.70240801925608,b,459.4506480628889,526.4799466590663,12.997171232662009,2.4825105943649803,10.053708521170451
Rub Al Khali,23.18500328063965,53.1561393737793,t,648.0633538246357,3909.506495228007,24.339846914709565,t,648.0633538246357,3909.506495228007,24.339846914709565,8.71853181603844,13.04004352785547
Grand Erg Occidental,29.64870262145996,358.593017578125,s,1388.750753789415,5430.591245175917,55.43412927316474,s,1388.750753789415,5430.591245175917,55.43412927316474,4.420769765266754,19.481358197643893
Karakum Desert,39.203731536865234,62.43737030029297,b,1571.5626862949887,8189.971127300308,16.647295437110397,b,1571.5626862949887,8189.971127300308,16.647295437110397,7.68320526957356,17.00230147776263
Central Takla Makan,38.92270278930664,86.34356689453125,t,1512.746710440746,8845.21188562409,38.97445704282505,t,1512.746710440746,8845.21188562409,38.97445704282505,17.230212877454814,23.33199254640187
El Djouf,19.250579833984375,350.436767578125,n,847.8659239724169,1772.5232666203797,31.281905565225887,n,847.8659239724169,1772.5232666203797,31.281905565225887,10.916076276368987,17.596752328511105
Rub Al Khali,19.5316104888916,45.84365463256836,l,1553.1015281371863,43549.30662003609,49.65192317359463,l,908.8520846198203,9959.946086070251,29.166880325265144,1.836322415469772,4.821406654929938
Rub Al Khali,18.96954917907715,51.46864318847656,l,1504.9500007698675,10865.659637679359,86.5966382522638,s,863.7340423988612,1920.4119358602431,65.75340564555387,0.5299955581028041,3.6811051921357594
Grand Erg Occidental,29.64870262145996,359.4367370605469,l,1163.2025655217878,6687.392823161294,24.76626329373391,l,1163.2025655217878,6687.392823161294,24.76626329373391,7.905200605366944,22.783250542591606
An Nafud \& Ad Dahna,24.871187210083008,48.093650817871094,l,2331.848433843495,10756.121094053859,28.12642436044574,l,2331.848433843495,10756.121094053859,28.12642436044574,5.1292296800334505,10.63629632416471
Central Takla Makan,39.484764099121094,81.56233215332031,b,910.2836087679344,2488.419628411197,30.7531492552357,b,910.2836087679344,2488.419628411197,30.7531492552357,5.3498606942543026,8.70451497466245
