d,u_*,threshold_type,p,rho_f,rho_s,sediment,hamaker_constant,nu,T,g,gamma,molecular_mass,fluid1,fluid1_proportion,fluid2,fluid2_proportion,flow_depth,tunnel,ref,reffull
m,m/s,word,Pa,kg/m^3,kg/m^3,word,kg*m^2/s^2,m^2/s,K,m/s^2,unitless,g/mol,word,%,word,%,m,word,word,string
0.00031,1.26,fluid,800,0.009,1100,walnut_shells,8.21086655942228E-20,0.002,288.35,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00031,1.23,fluid,800,0.009,1100,walnut_shells,8.21086655942228E-20,0.002,288.75,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00031,1,fluid,790,0.009,1100,walnut_shells,8.21086655942228E-20,0.002,289.55,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00031,1.31,fluid,810,0.009,1100,walnut_shells,8.21086655942228E-20,0.002,290.15,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00031,1.25,fluid,810,0.009,1100,walnut_shells,8.21086655942228E-20,0.002,290.45,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00031,1.19,fluid,800,0.009,1100,walnut_shells,8.21086655942228E-20,0.002,289.65,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00073,2.46,fluid,670,0.007,1100,walnut_shells,8.21086655942228E-20,0.002571428571429,289.65,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00073,2.16,fluid,650,0.007,1100,walnut_shells,8.21086655942228E-20,0.002571428571429,290.15,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00073,2.65,fluid,680,0.007,1100,walnut_shells,8.21086655942228E-20,0.002571428571429,290.25,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00073,2.37,fluid,660,0.007,1100,walnut_shells,8.21086655942228E-20,0.002571428571429,291.15,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00073,2.88,fluid,690,0.007,1100,walnut_shells,8.21086655942228E-20,0.002571428571429,291.55,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00073,2.7,fluid,690,0.007,1100,walnut_shells,8.21086655942228E-20,0.002571428571429,291.85,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00073,1.75,fluid,630,0.006,1100,walnut_shells,8.21086655942228E-20,0.003,292.05,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00073,2.37,fluid,660,0.007,1100,walnut_shells,8.21086655942228E-20,0.002571428571429,282.15,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,3.98,fluid,870,0.01,1100,walnut_shells,8.21086655942228E-20,0.0018,287.95,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,3.61,fluid,880,0.01,1100,walnut_shells,8.21086655942228E-20,0.0018,288.25,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,3.87,fluid,890,0.01,1100,walnut_shells,8.21086655942228E-20,0.0018,288.35,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,3.64,fluid,780,0.008,1100,walnut_shells,8.21086655942228E-20,0.00225,289.65,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,4,fluid,820,0.009,1100,walnut_shells,8.21086655942228E-20,0.002,289.75,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,4.2,fluid,840,0.009,1100,walnut_shells,8.21086655942228E-20,0.002,290.15,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,4.34,fluid,850,0.009,1100,walnut_shells,8.21086655942228E-20,0.002,290.15,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,4.48,fluid,870,0.01,1100,walnut_shells,8.21086655942228E-20,0.0018,290.25,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,4.5,fluid,890,0.01,1100,walnut_shells,8.21086655942228E-20,0.0018,290.55,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,4.63,fluid,920,0.01,1100,walnut_shells,8.21086655942228E-20,0.0018,291.15,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,4.78,fluid,940,0.01,1100,walnut_shells,8.21086655942228E-20,0.0018,291.15,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
0.00131,4.94,fluid,950,0.01,1100,walnut_shells,8.21086655942228E-20,0.0018,291.35,9.81,1.4,28.964,air,100,none,0,1,MARSWIT,swann2020,"Swann et al., 2020"
